"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R3TWBX7H","journalArticle","2016","Kasurinen, Jussi","Games as Software – Similarities and Differences between the Implementation Projects Jussi","Proceedings of the 17th International Conference on Computer Systems and Technologies 2016 - CompSysTech '16","","","10.1145/2983468.2983501","http://dl.acm.org/citation.cfm?doid=2983468.2983501","The game development in principle is not different from the traditional software development. In this study, the aim is to assess the video game development from the viewpoint of software engineering, assessing which software development activities are similar, and which incompatible within the game industry context. We interviewed 11 companies and conducted a survey to understand these differences; the project management and development tasks are similar, but the detailed activities, such as requirements engineering practices, are noticeably different. ©2016 ACM.","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","","33–40","","June","","","","","","","","","","","","","","","","","","ISBN: 9781450341820","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/7V6PDZNV/Kasurinen - 2016 - Games as Software Similarities and Differences be.pdf","","development process; game development; software development; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXYGHSCL","journalArticle","2014","Kasurinen, Jussi; Risto Laine","Games from the Viewpoint of Software Engineering","Proceeding of the Federated Computer Science Event","","","","","","2014","2021-02-26 20:18:37","2021-02-26 20:18:37","","23–26","","","","","","","","","","","","","","","","","","","","","","","","development process; game development; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89YUD28F","conferencePaper","2010","Godoy, André; Barbosa, Ellen F","Game-Scrum: An Approach to Agile Game Development","SBCGames","","","","http://www.sbgames.org/sbgames2010/proceedings/computing/short/Computing_short19.pdf","The use of agile methodologies for developing games has become very common. However, such methodologies must be adapted to the team reality and to the particularities of the game development. Since there are few agile methodologies that specifically address the problems found in game development, this paper aims at inves- tigating some alternatives and suggests an approach to guide people who are starting in this area. The proposed methodology, named Game-Scrum, has been applied in the development of a game for teaching software engineering. The results from its application are also discussed in the paper.","2010","2021-02-26 20:18:37","2021-02-26 20:18:37","","292–295","","","","","","","","","","","","","","","","","","","","","","","","agile methodologies; educational game; game development; gameprocess; scrum; xp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4STGD3C","journalArticle","2016","Carmona, O Tobar","Game development-From the vision to the final product","","","","","http://upcommons.upc.edu/handle/2117/83419","","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","","1–32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6CRE7A3","journalArticle","2018","Annanperä, Elina; Yli-Kantola, Jani; Sauvola, Tanja; Heinonen, Samuli; Siira, Erkki","Testing methods for mobile game development: A case study on user feedback in different development phases","2018 IEEE 6th International Conference on Serious Games and Applications for Health, SeGAH 2018","","","10.1109/SeGAH.2018.8401372","","Mobile games are relatively new industry, and their relevance on the game markets are rising. At the same time, it is very competitive market, as new games are coming out by hundreds every day. The challenges for the new game development come from the creative process and the human factors on how to make the game appealing. In this research, we study the use of test groups as part of new mobile game and concept development process in the early phases. They were used to complement the testing automation at the development phases when use of analytics was not yet possible. Six separate feedback collection sessions were arranged using different methods. The paper presents the main learnings of each used method, the perceived usefulness of the methods for the entire development process. We also contribute to the growing knowledge for mobile game development, focusing on methods for the testing with test user approaches. We conclude that testing with user groups can help clarify the mobile game design to create a more appealing game, but choosing the right groups and right moments in the game development phase can be difficult, as can be the interpretation of the feedback for decision making.","2018","2021-02-26 20:18:37","2021-02-26 20:18:37","","1–8","","","","","","","","","","","","","","","","","","","","ISBN: 9781538662984","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/FFHIBR99/Annanperä et al. - 2018 - Testing methods for mobile game development a case.pdf","","development process; game testing; methods; mobile games; users","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXJPA6YR","journalArticle","2018","Santos, R E S; Magalhes, C V C; Capretz, L F; Correia-Neto, J S; Da Silva, F Q B; Saher, A","Computer games are serious business and so is their quality: Particularities of software testing in game development from the perspective of practitioners","International Symposium on Empirical Software Engineering and Measurement","","","10.1145/3239235.3268923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061499891&doi=10.1145%2F3239235.3268923&partnerID=40&md5=80bb105d155dbee4b24ff3b9d92b13cf","Context. Over the last several decades, computer games started to have a significant impact on society. However, although a computer game is a type of software, the process to conceptualize, produce and deliver a game could involve unusual features. In software testing, for instance, studies demonstrated the hesitance of professionals to use automated testing techniques with games, due to the constant changes in requirements and design, and pointed out the need for creating testing tools that take into account the flexibility required for the game development process. Goal. This study aims to improve the current body of knowledge regarding these theme and point out the existing particularities observed in software testing considering the development of a computer game. Method. A mixed-method approach based on a case study and a survey was applied to collect quantitative and qualitative data from practitioners regarding the particularities of software testing in game development. Results. We analyzed over 70 messages posted on three well-established network of question-and-answer communities and received answers of 38 practitioners, and identified important aspects to be observed in the process of planning, performing and reporting tests games. Conclusion. Considering computer games, software testing must focus not only on the common aspects of a general software, but also, track and investigate issues that could be related to game balance, game physics and entertainment related-aspects to guarantee the quality of computer games and a successful testing process. © 2018 ACM.","2018","2021-02-26 20:18:37","2021-02-26 20:18:37","","","","","","","","","","","","","","","","","","","","","","","","/home/pol4ko/snap/zotero-snap/common/Zotero/storage/4TDCN4WF/Santos et al. - 2018 - Computer games are serious business and so is thei.pdf","","Automated testing; Body of knowledge; Computer games; Established; Software design; Software testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7XXQHTB","journalArticle","2014","Al-Azawi, Rula; Ayesh, Aladdin; Al-Obaidy, Mohaned","Towards Agent-based Agile approach for Game Development Methodology","2014 World Congress on Computer Applications and Information Systems, WCCAIS 2014","","","10.1109/WCCAIS.2014.6916626","","? 2014 IEEE.Game development is very complex and the success of the game is based on the game development methods. The purpose of this paper is to investigate on the existing game development methods and provide an upcoming game development method that is based on predictive and adaptive development models. A critical analysis to Agile method which are mostly used in modern game development methods is presented. We identified the weakness of Agile game development and solve it by creating a cooperation with Agent Oriented Software Engineering (AOSE) to introduce a new hybrid methodology named as Agent Agile Game Development Methodology (AAGDM) that combines both predictive and adaptive models.","2014","2021-02-26 20:18:37","2021-02-26 20:18:37","","1–6","","","","","","","","","","","","","","","","","","","","ISBN: 9781479933518 Publisher: IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DM45GC9","journalArticle","2017","Wang, Yiran; Che, Xiaoping","How to Keep People Playing Mobile Games: An Experience Requirements Testing Approach","Proceedings - 13th IEEE International Conference on Ubiquitous Intelligence and Computing, 13th IEEE International Conference on Advanced and Trusted Computing, 16th IEEE International Conference on Scalable Computing and Communications, IEEE Internationa","","","10.1109/UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld.2016.0130","","© 2016 IEEE. The smartphones continues to revolutionize daily activities, how people perform them. However, with a huge market, defining, testing experience requirements in mobile games is still vague, challenging. In this paper, we raise some new emotional experience requirements that are necessary for playing a mobile game., we propose a testing approach for formally expressing, testing experience requirements in mobile games. We attempted to define requirements for player experiences that were to be induced by the mobile game, then test them to determine whether the implementation satisfies these requirements. According to the test results, the mobile game developers will have more chances to adapt their products to better status before releasing. In order to prove the efficiency of our approach, we perform a real test environment to verify the satisfaction of experience requirements.","2017","2021-02-26 20:18:37","2021-02-26 20:18:37","","815–822","","","","","","","","","","","","","","","","","","","","ISBN: 9781509027705 Publisher: IEEE","","","","Experience Requirement; Mobile Game; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6S5BI5U","journalArticle","2017","Valente, Luis; Feijó, Bruno; Leite, Julio Cesar Sampaio do Prado","Mapping quality requirements for pervasive mobile games","Requirements Engineering","","1432010X","10.1007/s00766-015-0238-y","","? 2015 Springer-Verlag LondonGames have not received the full attention of the requirements engineering community. This scenario is becoming more critical as we move towards newer forms of games, such as pervasive games. Pervasiveness (the quality that distinguishes pervasive games from traditional digital games) holds several meanings, including being ubiquitous, permeating something, or spreading something, somewhere, in a physical space. Pervasiveness can be recognized in by the boundaries of the game expanding every time it is played, from the virtual (or fictional) world to the real world. Pervasive games are a new form of digital entertainment that has evolved in different forms, such as alternate reality games, transmedia games, and crossmedia games. Sensor technologies, networking capabilities, augmented reality systems, computer vision technology, the internet, and, especially, mobile devices have been responsible for the rapid evolution of this new form of digital product. This paper is focused on ?pervasive mobile games?, which we define as context-aware games that use mobile devices. We bear in mind that mobile devices are currently the main driver for fulfilling the promises of pervasive game playing. Our investigations and experiments on this class of games led us to study the quality requirements for pervasive mobile games. Using different information sources, we gathered a set of interrelated characteristics that are crucial to the success of these games. In this paper, we begin to clarify the definition and scope of pervasive mobile games, which are controversial issues in the literature. Using these fundamentals, we propose a two-level conceptual map of non-functional requirements that helps to realize pervasiveness in pervasive mobile games. These non-functional requirements are then associated with a set of questions that help the designers in verifying tasks and operationalizing the requirements of a game. We also propose a dependence matrix for pervasive game qualities that enhances the insight into pervasiveness and reveals important guidelines for the game designers.","2017","2021-02-26 20:18:37","2021-02-26 20:18:37","","137–165","","1","22","","","","","","","","","","","","","","","","","","","","","Dependence matrix; Non-functional requirements; Pervasive mobile games; Requirements engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCXNHNGJ","journalArticle","2013","Koutonen, Jussi; Leppänen, Mauri","How are agile methods and practices deployed in video game development? A survey into finnish game studios","Lecture Notes in Business Information Processing","","18651348","10.1007/978-3-642-38314-4_10","","Adapting software for different languages is required to gain market access by increasing product acceptance and usability, and satisfying legal requirements. This process commonly consists of two steps: Internationalization, i.e. the generalization of any language- and culture-specific properties and elements of the software in question, and localization, i.e. the specialization of said elements for specific languages, cultures and countries [1]. It is a topic with increasing relevance as new technologies enable new software uses and interaction modes, which in turn create new cultural dependencies which need to be localized, and new ways to do it, e.g. crowdsourcing [2] and machine translation [3]. © 2011 Springer-Verlag Berlin Heidelberg.","2013","2021-02-26 20:18:37","2021-02-26 20:18:37","","135–149","","","149","","","","","","","","","","","","","","","","","ISBN: 9783642383137","","","","Agile practices; Kanban; Scrum; Video game development; XP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR3RLHE9","conferencePaper","2018","Pascarella, Luca; Palomba, Fabio; Di Penta, Massimiliano; Bacchelli, Alberto","How is video game development different from software development in open source?","Proceedings - International Conference on Software Engineering","","","10.1145/3196398.3196418","http://dx.doi.org/10.1145/3196398.3196418","Recent research has provided evidence that, in the industrial con-text, developing video games diverges from developing software systems in other domains, such as office suites and system utilities. In this paper, we consider video game development in the open source system (OSS) context. Specifically, we investigate how de-velopers contribute to video games vs. non-games by working on different kinds of artifacts, how they handle malfunctions, and how they perceive the development process of their projects. To this pur-pose, we conducted a mixed, qualitative and quantitative study on a broad suite of 60 OSS projects. Our results confirm the existence of significant differences between game and non-game development, in terms of how project resources are organized and in the diversity of developers' specializations. Moreover, game developers respond-ing to our survey perceive more difficulties than other developers when reusing code as well as performing automated testing, and they lack a clear overview of their system's requirements.","2018","2021-02-26 20:18:37","2021-02-26 20:18:37","","392–402","","","","","","","","","","","","Gothenburg, Sweden","","","","","","","","ISSN: 02705257","","","","Human computer interaction; Industrial research; Int","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BSQW365","journalArticle","2016","Söbke, Heinrich; Streicher, Alexander","Entertainment Computing and Serious Games","","","","10.1007/978-3-319-46152-6","http://link.springer.com/10.1007/978-3-319-46152-6","Content is a key component for successful computer games and it is also one of the most labour and time intensive tasks a game developer can face. As the scale of contemporary games increases, players come to expect higher standards of fidelity and immersion, thus increasing the need to create large amounts of content. This chapter focuses on the creation of content for serious games, particularly research that can aid designers and game developers in generating large amounts of content quickly and effectively. While game developers have had many tools and methods for creating content for standard computer games, this chapter will concentrate on the types of content specific to serious games.","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","","148–173","","","9970","","","","","","","","","","","","","","","","","ISBN: 978-3-319-46151-9","","","","development; distributed architecture; game component; game engine; schema; serious game; serious games architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5L26AM8","journalArticle","2016","Aleem, Saiqa; Capretz, Luiz Fernando; Ahmed, Faheem","A Digital Game Maturity Model (DGMM)","Entertainment Computing","","18759521","10.1016/j.entcom.2016.08.004","http://dx.doi.org/10.1016/j.entcom.2016.08.004","Game development is an interdisciplinary concept that embraces artistic, software engineering, management, and business disciplines. This research facilitates a better understanding of important dimensions of digital game development methodology. Game development is considered as one of the most complex tasks in software engineering. The increased popularity of digital games, the challenges faced by game development organizations in developing quality games, and high competition in the digital game industry demand a game development maturity assessment. Consequently, this study presents a Digital Game Maturity Model to evaluate the current development methodology in an organization. The framework of this model consists of assessment questionnaires, a performance scale, and a rating method. The main goal of the questionnaires is to collect information about current processes and practices. In general, this research contributes towards formulating a comprehensive and unified strategy for game development maturity evaluation. Two case studies were conducted and their assessment results reported. These demonstrate the level of maturity of current development practices in two organizations.","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","","55–73","","","17","","","","","","","","","","","","","","","","","Publisher: Elsevier B.V.","","","","Game development methodology; Game performance; Online game; Process assessment; Software game; Software process improvement; Video game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2GCCPGI","journalArticle","2011","Callele, David; Neufeld, Eric; Schneider, Kevin","A report on select research opportunities in requirements engineering for videogame development","2011 4th Int. Workshop on Multimedia and Enjoyable Requirements Eng. - Beyond Mere Descriptions and with More Fun and Games, MERE'11 - Co-located with the 19th IEEE Int. Requirements Eng. Conf., RE'11","","","10.1109/MERE.2011.6043942","","Requirements engineering research in videogame development is a relatively new field. This paper summarizes our work in the area then reviews the prior academic and trade press. We then present brief overviews of numerous research opportunities in the videogame domain that arose from our research program yet remain open questions with the goal of providing other researchers with a concise directory of interesting research possibilities. ? 2011 IEEE.","2011","2021-02-26 20:18:37","2021-02-26 20:18:37","","26–33","","","","","","","","","","","","","","","","","","","","ISBN: 9781457709340 Publisher: IEEE","","","","games; requirements; Research opportunities; videogames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTHN4Y4K","journalArticle","2016","Aleem, Saiqa; Capretz, Luiz Fernando; Ahmed, Faheem","Game development software engineering process life cycle: a systematic review","Journal of Software Engineering Research and Development","","2195-1721","10.1186/s40411-016-0032-7","http://dx.doi.org/10.1186/s40411-016-0032-7","Software game is a kind of application that is used not only for entertainment, but also for serious purposes that can be applicable to different domains such as education, business, and health care. Multidisciplinary nature of the game development processes that combine sound, art, control systems, artificial intelligence (AI), and human factors, makes the software game development practice different from traditional software development. However, the underline software engineering techniques help game development to achieve maintainability, flexibility, lower effort and cost, and better design. The purpose of this study is to assesses the state of the art research on the game development software engineering process and highlight areas that need further consideration by researchers. In the study, we used a systematic literature review methodology based on well-known digital libraries. The largest number of studies have been reported in the production phase of the game development software engineering process life cycle, followed by the pre-production phase. By contrast, the post-production phase has received much less research activity than the pre-production and production phases. The results of this study suggest that the game development software engineering process has many aspects that need further attention from researchers; that especially includes the postproduction phase.","2016","2021-02-26 20:18:37","2021-02-26 20:18:37","","","","1","4","","","","","","","","","","","","","","","","","Publisher: Journal of Software Engineering Research and Development","","","","development software engineerong proces; online game; Online game; software game; Software Game; Systematic re; systematic review; video game; Video game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
