N,"About ""GameDev""","About ""Test""",Title
272,TRUE,FALSE,Kinematic simulation of a line follower robot for the creation of the programming videogame rusty roads in the unity framework
510,FALSE,FALSE,Kinematic simulation of a line follower robot for the creation of the programming videogame rusty roads in the unity framework [Simulación cinemática de un robot seguidor de línea para el desarrollo del videojuego de programación rusty roads en el framework unity]
273,TRUE,FALSE,Leveling-Up in Heroes of Might and Magic III
274,FALSE,FALSE,Linking Rules and Conceptual Model in a Domain Specific Language
275,FALSE,FALSE,Machine Learning Classification to Effort Estimation for Embedded Software Development Projects
276,FALSE,FALSE,Maintenance-oriented design and development: A case study
278,FALSE,FALSE,Microtask Crowdsourcing Marketplace for Social Network
280,TRUE,TRUE,Mining experiential patterns from game-logs of board game
282,FALSE,TRUE,"Model-based verification, optimization, synthesis and performance evaluation of real-time systems"
284,FALSE,FALSE,Modeling agent’s preferences by its designer’s social value orientation
286,TRUE,FALSE,Modelling and prototyping for psychological time in games
288,FALSE,FALSE,Modified Jelinski-Moranda software reliability growth model
290,FALSE,FALSE,MONO: a computer-supported cooperative tool for digital content software projects
291,TRUE,TRUE,Multi Agent Software Engineering (MaSE) and Agile Methodology for Game Development
292,FALSE,FALSE,Multi-Agent Coordination Based on Tokens: Reduction of the Bullwhip Effect in a Forest Supply Chain
512,FALSE,FALSE,Nested Monte-Carlo Search with simulation reduction
513,TRUE,FALSE,On feature discovery process in board games
293,TRUE,FALSE,On guaranteeing equity to mobile players in a metaverse
294,FALSE,FALSE,On reducibility in bilevel problems
295,FALSE,FALSE,On the impact of SOA on GSD: Open issues and challenges
296,TRUE,TRUE,On-the-fly techniques for game-based software model checking
297,TRUE,TRUE,Online model-based testing under uncertainty
300,TRUE,TRUE,Ontology-Based Domain Analysis for Model Driven Pervasive Game Development
514,TRUE,FALSE,Opponent modeling in real-time strategy games
301,FALSE,FALSE,Optimal acceleration thresholds for non-holonomic agents
302,FALSE,FALSE,Partial order reductions for bisimulation checking
515,FALSE,TRUE,Passing a hide-and-seek third-person turing test
516,FALSE,FALSE,Performance analysis in soccer: A Cartesian coordinates based approach using RoboCup data
304,FALSE,FALSE,Planning game for offshore XP project
305,TRUE,FALSE,Pop-Out Tetris: An Implementation of a Tablet FTVR Game
306,TRUE,TRUE,Postprocessing Gameplay Metrics for Gameplay Performance Segmentation Based on Audiovisual Analysis
308,FALSE,TRUE,Practical application for TDD. Part 1. Write software in a test-driven development environment
309,FALSE,FALSE,Practical formal software engineering: Wanting the software you get
517,FALSE,FALSE,PRADA: Prioritizing android devices for apps by mining large-scale usage data
518,TRUE,TRUE,Prioritizing the devices to test your app on: A case study of android game apps
310,TRUE,TRUE,Problems in modeling the software development process as an adventure game
311,TRUE,FALSE,Procedural generation of collaborative puzzle-platform game levels
313,TRUE,FALSE,Procedural story generation in games
339,FALSE,FALSE,Programming narrative
341,TRUE,TRUE,Proposal of Game Design Document from software engineering requirements perspective
342,FALSE,TRUE,Putting software to the test
344,TRUE,TRUE,Quality assurance in scripting
345,FALSE,TRUE,Quality of protection: Measuring the unmeasurable?
347,FALSE,FALSE,Randomly Right
349,FALSE,FALSE,Re-examining the model human processor: enhancing human performance via increased temporal task demands
521,FALSE,FALSE,Reasoning about strategies
351,FALSE,FALSE,Recovery Tasks: An Automated Approach to Failure Recovery
352,FALSE,FALSE,Redesign of the bank reconciliation interface of the ContaAzul software
522,TRUE,FALSE,Replication model for designing multi-player games interactions
353,FALSE,FALSE,Research into content generation - interactive drama
355,FALSE,FALSE,Research on intelligence - Psychology test and analysis system for selecting gymnasts
357,TRUE,FALSE,Research on optimization model of network attack-defense game
358,FALSE,FALSE,Research on the design and implementation of scoring system for large sports venues
360,TRUE,FALSE,Revisiting design guidelines for pervasive games
361,FALSE,TRUE,Rings: a game with a purpose for test data generation
524,TRUE,TRUE,Risk management in video game development projects
362,FALSE,FALSE,RoboLog Koblenz 2001
363,FALSE,FALSE,Robotics projects based on soft engineering
525,FALSE,FALSE,Robust multi-objective learning with mentor feedback
365,FALSE,FALSE,Role and experiences of tutorial in location-based game
526,FALSE,FALSE,Secure and practical constant round mental poker
368,FALSE,FALSE,Seeing the first-person perspective in dementia: A qualitative personal evaluation game to evaluate assistive technology for people affected by dementia in the home context
369,TRUE,FALSE,Shark punch: A virtual reality game for aquatic rehabilitation
371,TRUE,TRUE,Simplifying the controls of an interactive movie game
372,TRUE,TRUE,Simulating fusion algorithms with gaming platforms
373,FALSE,FALSE,Simulation and deep CNN based architecture for validation of Intelligent automotive functions
527,FALSE,FALSE,Single-player Monte-Carlo tree search for SameGame
375,TRUE,TRUE,Smelling screen: Technique to present a virtual odor source at an arbitrary position on a screen
378,TRUE,TRUE,Software analytics for digital games
379,TRUE,TRUE,Software engineering challenges in game development
381,TRUE,TRUE,Software engineering challenges of multi-player outdoor smartphone games
383,TRUE,TRUE,Software engineering research for computer games: A systematic review
385,TRUE,TRUE,Software engineering research for computer games: A systematic review systematic review
386,FALSE,FALSE,Software implementation and applications of the generalized information system
387,FALSE,FALSE,Software process improvement and gaming using essence: an industrial experience
388,TRUE,FALSE,Solving multi-leader-common-follower games
389,FALSE,FALSE,Sound-specific vibration interface using digital signal processing
393,FALSE,FALSE,Statistical multiplexing and traffic shaping games for network slicing
394,FALSE,FALSE,STAY ALIVE: A research prototype for exploring safety awareness training using distributed gaming technology
395,FALSE,FALSE,Strabismus screening by Eye Tracker and games
397,FALSE,FALSE,Stronger Virtual Connections in Hex
398,TRUE,TRUE,Study of methodology of testing mobile games based on TTCN-3
400,TRUE,TRUE,Studying the urgent updates of popular games on the Steam platform
401,FALSE,FALSE,Successful extreme programming: Fidelity to the methodology or good teamworking?
404,FALSE,FALSE,Supporting distributed extreme programming
405,TRUE,TRUE,Supporting team work in game design: Better - Better team relationships
406,FALSE,FALSE,Surviving the data glut: the management of events streams in cyberphysical systems
407,FALSE,FALSE,Suspenser: A story generation system for suspense
529,TRUE,TRUE,Synthesized essence: What game jams teach about prototyping of new software products
409,FALSE,FALSE,Taking the fifth amendment in Turing’s imitation game
411,FALSE,TRUE,Test Management and Control
413,TRUE,TRUE,"Testing, optimizaton, and games"
415,FALSE,FALSE,The capture calculus toolset
417,FALSE,TRUE,The design and development of testing information system of Psychodiagnosis for Equestrianism Players
419,FALSE,FALSE,The effect of reward structures on allocating shared staff resources among interdependent software projects: an experimental investigation
420,FALSE,FALSE,The impact of goals on software project management: an experimental investigation
423,TRUE,FALSE,The implementation of interactive music system for massive multi-player online game
425,FALSE,FALSE,The Influence Of Ubiquity On Screen-based Interfaces
426,FALSE,FALSE,The layered sensing operations center: a modeling and simulation approach to developing complex ISR networks
427,TRUE,TRUE,The Panda3D graphics engine
530,FALSE,FALSE,The parallel agile process: Applying parallel processing techniques to software engineering
429,FALSE,FALSE,The quantitative linear-time-branching-time spectrum
431,FALSE,FALSE,The survival robots: An artificial life
432,TRUE,TRUE,The whats and the whys of games and software engineering
433,FALSE,FALSE,The Σigma game for management
434,TRUE,FALSE,Thinking Style and Team Competition Game Performance and Enjoyment
436,FALSE,TRUE,Tilting Single Handheld Mobile Devices
437,TRUE,TRUE,Toolkits for open innovation - The case of mobile phone games
531,TRUE,TRUE,Towards a methodology for validating emergent behavior simulations
532,FALSE,FALSE,Towards a pattern language for construction and maintenance of software architecture traceability links
438,FALSE,FALSE,Towards an SDLC for projects involving distributed systems
533,TRUE,TRUE,Towards immersive multimodal gameplay
439,FALSE,FALSE,Towards recognizing and rewarding efficient developer work patterns
442,TRUE,FALSE,Towards swift and accurate collusion detection
444,FALSE,FALSE,Towards the understanding and classification of the personality traits of software development practitioners: situational context cards approach
534,TRUE,TRUE,Towards using devs for modelling adaptive storytelling in virtual games
535,FALSE,FALSE,Towards verifying declarative specifications of reactive systems
445,FALSE,FALSE,Traffic control and modeling system kit. Building system step by step
536,FALSE,TRUE,Transferring an automated test generation tool to practice: From Pex to Fakes and Code Digger
448,FALSE,TRUE,Tu´um: Test Model for Native Mobile Applications
449,FALSE,FALSE,Turn-taking cues in task-oriented dialogue
450,FALSE,FALSE,Understanding Challenges to Adoption of the Protection Poker Software Security Game
538,FALSE,TRUE,Unit test code generator for lua programming language
539,FALSE,TRUE,Using brain-computer interfaces in an interactive multimedia application
451,FALSE,FALSE,Using crowdsourced data for empirical research in information systems: what it is and how to do it safe?
453,TRUE,TRUE,"Using eye gaze, head pose, and facial expression for personalized non-player character interaction"
454,FALSE,FALSE,Using metrics to manage the end-game of a software project
456,FALSE,FALSE,Utilizing Online Collaborative Games to Facilitate Agile Software Development
457,FALSE,TRUE,Validation of usability driven web based software process model using simulation
459,TRUE,FALSE,VENUS: the online game simulator using massively virtual clients
540,TRUE,TRUE,Verification and refutation of probabilistic specifications via games
460,FALSE,FALSE,Verification of open interactive Markov chains
541,FALSE,TRUE,Verifying adaptation of neuro-controlled game opponent by cross validation under supervised and unsupervised player modeling
462,TRUE,FALSE,Video game bots as a theme for student software competitions
463,FALSE,FALSE,Virtual leashing: Internet-based software piracy protection
542,FALSE,FALSE,Visualizing Loops and Data Structures in Xylem: The Code of Plants
464,FALSE,FALSE,We-energy Hybrid Modeling and Parameter Identification With GAN Technology
465,TRUE,TRUE,"What Concerns Game Developers? A Study on Game Development Processes, Sustainability and Metrics"
468,TRUE,TRUE,What do game developers expect from development and design tools?
470,TRUE,TRUE,What is a minimum viable (video) game?
473,TRUE,FALSE,"Write-Once, Transpile-Everywhere: Re-using Motion Controllers of Virtual Humans Across Multiple Game Engines"
474,FALSE,FALSE,XPSwiki: An agile tool supporting the planning game
